,Mean Probability,Std. Dev.
dy,0.67,0.12
svar,0.66,0.11
ntis,0.59,0.11
lbl,0.54,0.1
ep,0.46,0.06
de,0.45,0.07
lty,0.38,0.11
dfy,0.36,0.12
dp,0.26,0.07
