permno,date,month,ret,shrout,altprc,exchcd,siccd,mktcap,mktcap_lag,exchange,industry,ret_excess,gvkey,month:1,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl,month:2,mkt_excess,smb,hml,rf
10028,1994-01-31T00:00:00,1994-01-01T00:00:00,0.0769230797886848,5566000.0,2.625,2,5094,14.61075,13.567125,AMEX,Wholesale,0.0744230797886848,012096,1994-01-01T00:00:00,-3.64182802927731,0.00343687955631244,-3.07869689013908,-0.56313113913823,0.0004234883,0.2880585672,0.0436711352,0.0298,0.0637,0.0257,0.0339,0.0073,0.0027434842,1994-01-01T00:00:00,0.0287,0.0034,0.0115,0.0025
10028,1994-02-28T00:00:00,1994-02-01T00:00:00,0.119047619402409,5566000.0,2.9375,2,5094,16.350125,14.61075,AMEX,Wholesale,0.116947619402409,012096,1994-02-01T00:00:00,-3.60788936550894,0.00343300447906092,-3.03593098759257,-0.571958377916365,0.0010260765,0.2990588209,0.0450411316,0.0325,0.0682,-0.045,0.0357,0.0068,0.0034199726,1994-02-01T00:00:00,-0.0255,0.028,-0.0154,0.0021
10028,1994-03-31T00:00:00,1994-03-01T00:00:00,-0.170212760567665,5566000.0,2.4375,2,5094,13.567125,16.350125,AMEX,Wholesale,-0.172912760567665,012096,1994-03-01T00:00:00,-3.55765010121397,0.00341338962200544,-2.9769977678189,-0.58065233339507,0.0008921025,0.3074838051,0.0419050878,0.035,0.0725,-0.0395,0.0375,0.00649999999999999,0.0034083163,1994-03-01T00:00:00,-0.0478,-0.0108,0.016,0.0027
10028,1994-04-29T00:00:00,1994-04-01T00:00:00,0.128205135464668,5566000.0,2.75,2,5094,15.3065,13.567125,AMEX,Wholesale,0.125505135464668,012096,1994-04-01T00:00:00,-3.56576002113175,0.0033547191934522,-2.95256666121547,-0.613193359916281,0.001373668,0.3036647862,0.0398456593,0.0368,0.0745,-0.015,0.0377,0.0064,0.0013586957,1994-04-01T00:00:00,0.0068,-0.0093,0.0166,0.0027
10028,1994-05-31T00:00:00,1994-05-01T00:00:00,-0.159090906381607,5871000.0,-2.3125,2,5094,13.5766875,15.3065,AMEX,Wholesale,-0.162190906381607,012096,1994-05-01T00:00:00,-3.57476717818588,0.00333568549840457,-2.93025773796302,-0.644509440222861,0.0007505029,0.2974694757,0.0396410671,0.0414,0.0759,-0.0082,0.0345,0.0063,0.0006784261,1994-05-01T00:00:00,0.0058,-0.0215,0.0067,0.0031
10028,1994-06-30T00:00:00,1994-06-01T00:00:00,-0.0270270276814699,5871000.0,-2.25,2,5094,13.20975,13.5766875,AMEX,Wholesale,-0.0301270276814699,012096,1994-06-01T00:00:00,-3.54425667139442,0.00333238690884974,-2.86958849120014,-0.674668180194274,0.0007971327,0.3084170767,0.033995564,0.0414,0.0774,-0.01,0.036,0.0068,0.0033898305,1994-06-01T00:00:00,-0.0303,-0.0041,0.0167,0.0031
10028,1994-07-29T00:00:00,1994-07-01T00:00:00,-0.111111111938953,5871000.0,2.0,2,5094,11.742,13.20975,AMEX,Wholesale,-0.113911111938953,012096,1994-07-01T00:00:00,-3.57295885365961,0.0022802187371016,-2.8727858921458,-0.700172961513813,0.0003272825,0.2969853808,0.0312112174,0.0433,0.0746,0.0363,0.0313,0.00689999999999999,0.0027027027,1994-07-01T00:00:00,0.0282,-0.0181,0.0058,0.0028
10028,1994-08-31T00:00:00,1994-08-01T00:00:00,-0.03125,5866000.0,1.9375,2,5094,11.365375,11.742,AMEX,Wholesale,-0.03495,012096,1994-08-01T00:00:00,-3.60762806200333,0.00228278692190642,-2.88270406901848,-0.724923992984854,0.0005603876,0.2856838193,0.0287065182,0.0448,0.0761,-0.0086,0.0313,0.00670000000000001,0.0040431267,1994-08-01T00:00:00,0.0401,0.0145,-0.0251,0.0037
10028,1994-09-30T00:00:00,1994-09-01T00:00:00,0.161290317773819,5866000.0,2.25,2,5094,13.1985,11.365375,AMEX,Wholesale,0.157590317773819,012096,1994-09-01T00:00:00,-3.57809183841213,0.00226984956094256,-2.82911550801521,-0.748976330396922,0.000801893,0.2909046586,0.0290032948,0.0462,0.08,-0.0331,0.0338,0.0064,0.0026845638,1994-09-01T00:00:00,-0.0231,0.0314,-0.0189,0.0037
10028,1994-10-31T00:00:00,1994-10-01T00:00:00,0.0,5866000.0,2.25,2,5094,13.1985,13.1985,AMEX,Wholesale,-0.0038,012096,1994-10-01T00:00:00,-3.59236326952984,0.00634829714224683,-2.81062711354619,-0.781736155983654,0.001158428,0.2860712737,0.0260004953,0.0495,0.0809,-0.0025,0.0314,0.0063,0.000669344,1994-10-01T00:00:00,0.0134,-0.0224,-0.0162,0.0038
