Date,SPY,sp600,MSCI_World,10Y_Bond_Return,Gold
1989-01-31,,,,0.007508333333333333,-0.039
1989-02-28,-0.02894414843113058,0.003490676280008209,-0.00782013685239491,0.007766666666666667,-0.0159999999999999
1989-03-31,0.020805961609083434,0.015736305776836934,-0.008078829760621908,0.007750000000000001,-0.0089999999999999
1989-04-30,0.05008993717851862,0.04712980110944742,0.02145414867201545,0.007516666666666667,-0.012
1989-05-31,0.035137494672926595,0.035508469269675214,-0.02605994573307635,0.007166666666666666,-0.042
1989-06-30,-0.007924554206930945,-0.016092641437837396,-0.012979233543206736,0.00675,0.031
1989-07-31,0.08837025792525588,0.03225314383076783,0.11126846319696049,0.006516666666666667,-0.012
1989-08-31,0.01551671822445666,0.01939874992261026,-0.025668989439795453,0.0068833333333333325,-0.0249999999999999
1989-09-30,-0.006544368276168888,-0.0008715508684699058,0.026532159721884163,0.006925000000000001,0.02
1989-10-31,-0.02517545094824758,-0.060628064015036065,-0.03494723580966008,0.006599999999999999,0.024
1989-11-30,0.016541324259951473,0.007429124330671444,0.038287414797421926,0.006533333333333333,0.082
1989-12-31,0.021416815142801804,0.005530813191058526,0.030517688997218517,0.006608333333333333,-0.0239999999999999
1990-01-31,-0.06881722621461728,-0.09350642326274194,-0.04829889647187091,0.007025,0.043
1990-02-28,0.008539042758088922,0.022416955592630128,-0.044452674411427306,0.007091666666666666,-0.019
1990-03-31,0.024254986404143253,0.02934386389341226,-0.06222142876917203,0.007208333333333334,-0.097
1990-04-30,-0.02688714062127162,-0.04260089535418843,-0.0163290493919257,0.007533333333333333,-0.001
1990-05-31,0.09198919079889456,0.06825028294359337,0.10338302651912801,0.007166666666666666,-0.013
1990-06-30,-0.008886365681221697,-0.0023489120645981965,-0.008950583489611752,0.007025,-0.0299999999999999
1990-07-31,-0.005223158411739148,-0.05415163730209949,0.007302051527086961,0.006966666666666666,0.057
1990-08-31,-0.09431418479162934,-0.12562230178687506,-0.0955742177352884,0.007383333333333333,0.0469999999999999
1990-09-30,-0.051184306456431794,-0.09527425675845413,-0.10757224075813365,0.00735,0.05
1990-10-31,-0.006698212301042394,-0.07195293942161285,0.09099503532169795,0.007208333333333334,-0.071
1990-11-30,0.05993421454178649,0.06984629374668194,-0.018414211194992536,0.0068833333333333325,0.013
1990-12-31,0.024827757338752088,0.03126979685146036,0.01853894015301627,0.006733333333333333,0.005
1991-01-31,0.0415177499981747,0.070682172734583,0.03445285784720342,0.006691666666666666,-0.053
1991-02-28,0.06728117681278056,0.11117492460571055,0.0904901178084645,0.006683333333333333,-0.01
1991-03-31,0.022202832522041804,0.060616505532329334,-0.03131000491235714,0.0067083333333333335,-0.018
1991-04-30,0.0003197993624997064,0.0012988799506288284,0.005750593861313158,0.006683333333333333,0.0069999999999999
1991-05-31,0.0386049724936075,0.03778177234044389,0.020899004989792358,0.006716666666666667,0.008
1991-06-30,-0.04789262897479862,-0.04484373331069946,-0.06353803528793966,0.006866666666666667,0.0209999999999999
1991-07-31,0.04485934295776639,0.037788279375617684,0.04516393931149354,0.006833333333333333,-0.014
1991-08-31,0.019648784624321847,0.042087043528378665,-0.005130180837730425,0.006516666666666667,-0.043
1991-09-30,-0.019143735843086596,0.007109381581665408,0.024196770947363166,0.0062250000000000005,0.022
1991-10-31,0.011834236654519437,0.034094271262209874,0.01432990516858057,0.0062250000000000005,0.008
1991-11-30,-0.0439037086263071,-0.046187369290517255,-0.045437167521232724,0.00615,0.0249999999999999
1991-12-31,0.11158785507428148,0.08420890716442808,0.07080004882812507,0.005591666666666666,-0.0349999999999999
1992-01-31,-0.019923751783923582,0.0748595794874718,-0.02035865505607959,0.006091666666666666,0.0059999999999999
1992-02-29,0.00958954312696414,0.019861548369345172,-0.019256388152407045,0.006058333333333333,-0.001
1992-03-31,-0.021831862125327728,-0.02908397416660724,-0.04898913493586199,0.006283333333333333,-0.032
1992-04-30,0.027892713957560433,-0.0411717493724727,0.011856066329193116,0.0063416666666666665,-0.016
1992-05-31,0.0009639568254422581,0.010322047374064613,0.03777780243844697,0.006108333333333334,0.003
1992-06-30,-0.017358833150663777,-0.039640423878787745,-0.03562393980082601,0.0059499999999999996,0.019
1992-07-31,0.039373686063305824,0.03631202210771267,0.00040373881609911955,0.0056,0.041
1992-08-31,-0.02399753160189122,-0.02983849408737571,0.02219531853214396,0.005516666666666666,-0.051
1992-09-30,0.009105593857418937,0.027229124999475163,-0.01105409797877377,0.005308333333333334,0.0239999999999999
1992-10-31,0.002106282691536565,0.04079111825698134,-0.029141728749532136,0.005666666666666667,-0.027
1992-11-30,0.03026180770368403,0.08471890040065899,0.015830617400603764,0.005791666666666667,-0.015
1992-12-31,0.010107766987062838,0.03454992789200939,0.0060716453409059845,0.005583333333333333,-0.0049999999999999
1993-01-31,0.007045987892006611,0.026105376255914248,0.001408130518725903,0.005325,-0.008
1993-02-28,0.010483627595407663,-0.029452207562543187,0.021896393494078792,0.005025,-0.007
1993-03-31,0.01869729905188877,0.03707638799303248,0.05602516083369191,0.005025,0.028
1993-04-30,-0.02541681016015651,-0.03711718169494338,0.044489878696606366,0.0050416666666666665,0.049
1993-05-31,0.02271746278774489,0.05261909618422922,0.021386563040693085,0.0051333333333333335,0.065
1993-06-30,0.0007552285391652092,0.005504442952618538,-0.010120376967454714,0.004833333333333333,0.0029999999999999
1993-07-31,-0.00532704570835929,0.00960787163252097,0.01886129461884667,0.004858333333333333,0.062
1993-08-31,0.03443195614588723,0.05178709929111691,0.04429061520058397,0.004541666666666667,-0.077
