Date,Mkt-RF,SMB,HML,RMW,CMA,MMOM,PEAD,FIN,QMJ,BAB,MGMT,PERF,MKTRF,SMB*,IA,ROE,MKT,ME,LIQ,IFCR,CON
197907,0.0082,0.0124,0.017,-0.002,0.0059,-0.0107,-7.97E-05,0.023776233,0.005734627,0.016003727,0.005229147,-0.018016799,0.0082,0.008530827,0.006917,0.006135,0.006581,0.012491,-0.0163,0.025,0.01632058
197908,0.0553,0.0197,-0.0155,0.0158,-0.0145,-0.0024,0.004388828,0.006209826,0.009980028,0.019564485,-0.027127409,0.025384724,0.0553,0.021909319,-0.004779,0.027849,0.057222,0.017003,0.015,0.0396,-0.0174175
197909,-0.0082,-0.0027,-0.0087,0.0102,0.0054,0.0534,0.005392565,-0.007396386,0.000547019,0.00393789,0.007214788,0.032900951,-0.0082,-0.005928214,-0.001337,0.007022,-0.006304,-0.000818,-0.0131,-0.0321,-0.025998082
197910,-0.081,-0.0346,-0.0186,0.0104,0.0024,0.0212,-0.003705683,-0.012810452,0.022134343,-0.0470251,0.00339671,0.028281948,-0.081,-0.032692709,0.000073,0.009844,-0.082281,-0.031572,0.0011,-0.1098,0.010819667
197911,0.0521,0.0244,-0.0325,0.0011,-0.02,0.0796,0.01462016,-0.024488874,-0.022131084,-0.016003002,-0.040573071,0.026785189,0.0521,0.022568487,-0.025071,0.022576,0.053725,0.021391,-0.0681,0.0522,-0.003465297
197912,0.0179,0.0434,-0.0198,-0.0067,-0.0101,0.0477,0.009184254,0.010911104,-0.012566145,0.008357882,-0.011585057,0.032872577,0.0179,0.034415509,-0.011265,0.012001,0.018003,0.039713,-0.0159,0.0248,-0.037652981
198001,0.0551,0.019,0.018,-0.0167,0.0201,0.0748,0.013128264,0.009773937,-0.027369926,0.026310745,0.009980345,0.041492375,0.0551,0.029236873,0.013972,0.017361,0.057639,0.007782,-0.0003,-0.0047,-0.06919296
198002,-0.0122,-0.0149,0.0062,0.0011,0.0304,0.0788,0.053521529,0.010723224,-0.02003907,-0.015324238,0.015901925,0.063182877,-0.0122,-0.013996122,0.016938,0.023214,-0.009639,-0.015603,0.0181,-0.0953,0.02737421
198003,-0.129,-0.0697,-0.0106,0.0138,-0.0134,-0.0958,-0.02870767,-0.000895638,0.047030482,-0.047090934,0.006559464,-0.064354891,-0.129,-0.066840339,0.00782,-0.011263,-0.132233,-0.065522,0.0313,-0.0066,-0.013993908
198004,0.0397,0.01,0.0106,-0.0209,0.0054,-0.0041,0.008945033,-0.041997085,-0.033720834,0.020881379,-0.014342116,-0.04420135,0.0397,0.009693451,0.012123,0.001583,0.039423,0.013333,-0.0103,0.083,0.008639905
198005,0.0526,0.021,0.0039,0.0031,-0.0047,-0.0111,0.005413682,0.036643778,0.006910566,0.036483373,-0.011940841,-0.009460453,0.0526,0.014555274,-0.013982,-0.009124,0.052207,0.014589,-0.0083,0.0633,0.025211952
198006,0.0306,0.0147,-0.0089,-0.0009,-0.0095,0.0159,0.003752427,0.005989635,-0.011145856,0.036928037,-0.008448785,0.003773823,0.0306,0.010580028,-0.011,0.030838,0.031402,0.01324,0.0115,0.0455,-0.006094113
198007,0.0649,0.0393,-0.063,0.0394,-0.0246,0.0039,-0.010713877,0.001796328,0.035135423,-0.009418458,-0.031554024,0.045354936,0.0649,0.035243404,-0.022277,-0.004002,0.064157,0.036646,-0.0088,0.0157,0.001655281
198008,0.018,0.0426,-0.0264,0.021,-0.008,0.032,0.012164432,0.008271692,-0.001185467,0.015236304,-0.024048989,0.0381268,0.018,0.037971921,0.006602,0.025091,0.01758,0.047297,0.0115,0.0022,0.008783791
198009,0.0219,0.0058,-0.0479,0.0203,-0.0281,0.0543,0.00451724,-0.00770181,0.011998265,0.012859699,-0.04250359,0.04996205,0.0219,0.0044191,-0.004959,0.051721,0.0208,0.008389,0.0113,-0.0138,0.018580071
198010,0.0106,0.0233,-0.0274,0.0167,-0.0122,0.0735,0.019816958,-0.021965313,0.00460151,-0.002188795,-0.020423317,0.040955939,0.0106,0.017467408,0.004772,0.040177,0.011181,0.011752,0.025,-0.009,0.068185397
198011,0.0959,-0.034,-0.0835,0.0453,-0.0574,0.1524,-0.031001662,-0.051579069,0.010008204,-0.062560404,-0.07204375,0.097070435,0.0959,-0.041431212,-0.020164,0.088994,0.096056,-0.049498,0.0283,0.0457,0.008241342
198012,-0.0452,-0.0031,0.0268,-0.0125,0.0118,-0.0666,0.004604209,0.01440083,0.008938577,0.009158151,0.03020065,-0.067623791,-0.0452,0.001216289,0.009472,-0.01307,-0.048558,0.010671,0.0286,0.1275,0.013388944
198101,-0.0504,0.0337,0.0684,-0.0354,0.0435,-0.079,0.035551878,0.040676308,-0.005520847,0.047138164,0.070427066,-0.044600849,-0.0504,0.030636504,0.024125,-0.048674,-0.050042,0.037157,0.0396,-0.0265,-0.02007604
198102,0.0057,-0.0049,0.0097,0.0019,0.0225,-0.0142,0.019923552,0.032305584,0.014480448,0.019599999,0.036040892,-0.004504024,0.0056,0.003019401,0.019667,0.007832,0.004836,-0.000624,0.0008,0.0382,0.003197125
198103,0.0356,0.0308,0.0067,-0.0234,-0.0053,0.0074,0.010343031,0.035742217,-0.011038191,0.036671215,-0.001357312,-0.00036435,0.0356,0.041436598,-0.017966,-0.013686,0.033027,0.034262,0.0178,0.0206,-0.014631573
198104,-0.0211,0.046,0.0226,0.0082,0.012,-0.0096,0.015897164,0.020877352,0.013367979,0.056691679,0.010469631,0.013082756,-0.021,0.060698851,0.023647,0.013111,-0.022024,0.041895,-0.0142,0.0197,-0.023442841
198105,0.0011,0.0245,-0.0043,0.0033,-0.016,0.0373,0.011940538,0.005168948,-0.014997005,-0.003580777,-0.011769827,0.015144033,0.0011,0.035119951,-0.005088,-0.000189,0.002905,0.024525,-0.0223,0.0755,0.016234354
198106,-0.0236,-0.0097,0.0513,-0.0135,0.0268,-0.0588,0.00016046,0.035257159,0.010392813,0.054433899,0.048572835,-0.044906896,-0.0236,-0.018613303,0.027112,0.000077,-0.0254,-0.007516,0.0586,0.004,-0.014452209
198107,-0.0154,-0.0197,-0.0066,0.0108,-0.0304,-0.025,0.000799084,-0.010420474,0.004779584,-0.013369019,-0.013084863,-0.002468332,-0.0154,-0.037877698,-0.019904,0.031611,-0.014995,-0.016054,-0.0145,-0.0427,0.001572254
198108,-0.0704,-0.0181,0.0484,-0.0025,0.0146,-0.0112,-0.003110954,0.0393583,0.005523088,0.020031312,0.030571301,-0.014975303,-0.0703,-0.006357549,0.011942,0.007535,-0.069083,-0.014014,-0.0025,-0.042,0.009076514
198109,-0.0717,-0.0249,0.052,-0.0002,0.0279,0.0198,0.006995216,0.041777896,0.007161498,-0.016216668,0.047689102,0.001573331,-0.0717,-0.005019187,0.035608,0.005845,-0.076566,-0.016974,0.0931,-0.0159,0.026316358
198110,0.0492,0.0224,-0.0421,0.0329,-0.0276,0.0405,0.032683287,-0.048192121,0.008321751,-0.019378011,-0.021338036,0.017264589,0.0492,0.014420581,-0.009604,0.047945,0.048477,0.019519,-0.0206,0.0739,-0.03979558
198111,0.0336,-0.0138,0.019,0.001,0.0063,-0.0024,-0.010363108,0.030789594,0.008823889,0.04369903,0.018438931,-0.012517309,0.0336,-0.021008786,0.006073,0.005523,0.034819,-0.014151,0.0621,0.0331,0.006307236
198112,-0.0365,0.0119,0.0074,0.0019,0.0241,0.0132,-0.002480404,0.014771707,0.018572265,0.022087442,0.028041955,0.025907794,-0.0365,0.024820567,0.018838,-0.005243,-0.036834,0.012871,0.0026,-0.0516,0.032410469
198201,-0.0324,-0.0118,0.0317,-0.0152,0.0208,0.0174,0.005140745,0.034528471,0.001180259,0.00023393,0.032989438,0.01950714,-0.0324,0.005591622,0.019967,-0.014831,-0.033515,-0.002848,-0.0204,-0.005,0.012622397
198202,-0.0586,0.0037,0.061,-0.0338,0.0457,0.0501,0.020895172,0.042906895,0.003916251,0.03022817,0.056865965,0.011411971,-0.0586,0.024524648,0.047247,0.00327,-0.060302,0.004994,-0.0134,-0.0115,-0.004874926
